name,active,value_1,value_2,value_3,description_1,description_2,description_3,definition_1,definition_2,definition_3,source
ELECTRIC_VEHICLE: CAR_RR: PLUG_IN_HYBRID,TRUE,ELECTRIC_VEHICLE,CAR_RR,PLUG_IN_HYBRID,Road Registered Car,Electric Vehicle,Plug-In Hybrid,,,,
ELECTRIC_VEHICLE: CAR_RR: HYBRID,TRUE,ELECTRIC_VEHICLE,CAR_RR,HYBRID,Road Registered Car,Electric Vehicle,Hybrid,,,,
ELECTRIC_VEHICLE: TRUCK_PASSENGER_RR: FULL_ELECTRIC,TRUE,ELECTRIC_VEHICLE,TRUCK_PASSENGER_RR,FULL_ELECTRIC,Road Registered Passenger Truck,Electric Vehicle,Full Electric,,,,
ELECTRIC_VEHICLE: TRUCK_PASSENGER_RR: PLUG_IN_HYBRID,TRUE,ELECTRIC_VEHICLE,TRUCK_PASSENGER_RR,PLUG_IN_HYBRID,Road Registered Passenger Truck,Electric Vehicle,Plug-In Hybrid,,,,
ELECTRIC_VEHICLE: TRUCK_PASSENGER_RR: HYBRID,TRUE,ELECTRIC_VEHICLE,TRUCK_PASSENGER_RR,HYBRID,Road Registered Passenger Truck,Electric Vehicle,Hybrid,,,,
ELECTRIC_VEHICLE: TRUCK_COMMERCIAL_RR: FULL_ELECTRIC,TRUE,ELECTRIC_VEHICLE,TRUCK_COMMERCIAL_RR,FULL_ELECTRIC,Road Registered Commercial Truck,Electric Vehicle,Full Electric,,,,
ELECTRIC_VEHICLE: TRUCK_COMMERCIAL_RR: PLUG_IN_HYBRID,TRUE,ELECTRIC_VEHICLE,TRUCK_COMMERCIAL_RR,PLUG_IN_HYBRID,Road Registered Commercial Truck,Electric Vehicle,Plug-In Hybrid,,,,
ELECTRIC_VEHICLE: TRUCK_COMMERCIAL_RR: HYBRID,TRUE,ELECTRIC_VEHICLE,TRUCK_COMMERCIAL_RR,HYBRID,Road Registered Commercial Truck,Electric Vehicle,Hybrid,,,,
ELECTRIC_VEHICLE: BUS_RR: FULL_ELECTRIC,TRUE,ELECTRIC_VEHICLE,BUS_RR,FULL_ELECTRIC,Road Registered Bus,Electric Vehicle,Full Electric,,,,
ELECTRIC_VEHICLE: BUS_RR: PLUG_IN_HYBRID,TRUE,ELECTRIC_VEHICLE,BUS_RR,PLUG_IN_HYBRID,Road Registered Bus,Electric Vehicle,Plug-In Hybrid,,,,
ELECTRIC_VEHICLE: BUS_RR: HYBRID,TRUE,ELECTRIC_VEHICLE,BUS_RR,HYBRID,Road Registered Bus,Electric Vehicle,Hybrid,,,,
ELECTRIC_VEHICLE: BOAT_RECREATIONAL: FULL_ELECTRIC,TRUE,ELECTRIC_VEHICLE,BOAT_RECREATIONAL,FULL_ELECTRIC,Boat Recreational,Electric Vehicle,Full Electric,,,,
ELECTRIC_VEHICLE: BOAT_RECREATIONAL: PLUG_IN_HYBRID,TRUE,ELECTRIC_VEHICLE,BOAT_RECREATIONAL,PLUG_IN_HYBRID,Boat Recreational,Electric Vehicle,Plug-In Hybrid,,,,
ELECTRIC_VEHICLE: BOAT_RECREATIONAL: HYBRID,TRUE,ELECTRIC_VEHICLE,BOAT_RECREATIONAL,HYBRID,Boat Recreational,Electric Vehicle,Hybrid,,,,
ELECTRIC_VEHICLE: BOAT_COMMERICAL: FULL_ELECTRIC,TRUE,ELECTRIC_VEHICLE,BOAT_COMMERICAL,FULL_ELECTRIC,Boat Commercial,Electric Vehicle,Full Electric,,,,
ELECTRIC_VEHICLE: BOAT_COMMERICAL: PLUG_IN_HYBRID,TRUE,ELECTRIC_VEHICLE,BOAT_COMMERICAL,PLUG_IN_HYBRID,Boat Commercial,Electric Vehicle,Plug-In Hybrid,,,,
ELECTRIC_VEHICLE: BOAT_COMMERICAL: HYBRID,TRUE,ELECTRIC_VEHICLE,BOAT_COMMERICAL,HYBRID,Boat Commercial,Electric Vehicle,Hybrid,,,,
ELECTRIC_VEHICLE: LIGHT_EV_NRR: FULL_ELECTRIC,TRUE,ELECTRIC_VEHICLE,LIGHT_EV_NRR,FULL_ELECTRIC,Non Road Registered Light Vehicle,Electric Vehicle,Full Electric,,,,
ELECTRIC_VEHICLE: LIGHT_EV_NRR: PLUG_IN_HYBRID,TRUE,ELECTRIC_VEHICLE,LIGHT_EV_NRR,PLUG_IN_HYBRID,Non Road Registered Light Vehicle,Electric Vehicle,Plug-In Hybrid,,,,
ELECTRIC_VEHICLE: LIGHT_EV_NRR: HYBRID,TRUE,ELECTRIC_VEHICLE,LIGHT_EV_NRR,HYBRID,Non Road Registered Light Vehicle,Electric Vehicle,Hybrid,,,,
ELECTRIC_VEHICLE: OTHER: FULL_ELECTRIC,TRUE,ELECTRIC_VEHICLE,OTHER,FULL_ELECTRIC,Other,Electric Vehicle,Full Electric,,,,
ELECTRIC_VEHICLE: OTHER: PLUG_IN_HYBRID,TRUE,ELECTRIC_VEHICLE,OTHER,PLUG_IN_HYBRID,Other,Electric Vehicle,Plug-In Hybrid,,,,
ELECTRIC_VEHICLE: OTHER: HYBRID,TRUE,ELECTRIC_VEHICLE,OTHER,HYBRID,Other,Electric Vehicle,Hybrid,,,,
