name,active,value_1,value_2,value_3,description_1,description_2,description_3,definition_1,definition_2,definition_3,source
PROVIDE_EVACUATION_SUPPORT: REMOTE_INTERIOR_SPACES,TRUE,PROVIDE_EVACUATION_SUPPORT,REMOTE_INTERIOR_SPACES,,Provide Evacuation Support,Remote Interior Spaces,,,,,
PROVIDE_EVACUATION_SUPPORT: NEARBY_BUILDINGS,TRUE,PROVIDE_EVACUATION_SUPPORT,NEARBY_BUILDINGS,,Provide Evacuation Support,Nearby Buildings,,,,,
PROVIDE_EVACUATION_SUPPORT: LARGE_AREA,TRUE,PROVIDE_EVACUATION_SUPPORT,LARGE_AREA,,Provide Evacuation Support,Large Area,,,,,
PROVIDE_EQUIPMENT: PROVIDE_SPECIAL_EQUIPMENT,TRUE,PROVIDE_EQUIPMENT,PROVIDE_SPECIAL_EQUIPMENT,,Provide Equipment,Provide Special Equipment,,,,,
PROVIDE_EQUIPMENT: PROVIDE_LIGHT,TRUE,PROVIDE_EQUIPMENT,PROVIDE_LIGHT,,Provide Equipment,Provide Light,,,,,
PROVIDE_EQUIPMENT: PROVIDE_ELECTRICAL_POWER,TRUE,PROVIDE_EQUIPMENT,PROVIDE_ELECTRICAL_POWER,,Provide Equipment,Provide Electrical Power,,,,,
PROVIDE_EQUIPMENT: PROVIDE_DRONE/VIDEO_EQUIPMENT,TRUE,PROVIDE_EQUIPMENT,PROVIDE_DRONE/VIDEO_EQUIPMENT,,Provide Equipment,Provide Drone / Video Equipment,,,,,
PROVIDE_SERVICES: RESTORE_SPRINKLER_SYSTEM,TRUE,PROVIDE_SERVICES,RESTORE_SPRINKLER_SYSTEM,,Provide Services,Restore Sprinkler System,,,,,
PROVIDE_SERVICES: RESTORE/RESET_ALARM_SYSTEM,TRUE,PROVIDE_SERVICES,RESTORE/RESET_ALARM_SYSTEM,,Provide Services,Restore/Reset Alarm System,,,,,
PROVIDE_SERVICES: SHUT_DOWN_ALARM,TRUE,PROVIDE_SERVICES,SHUT_DOWN_ALARM,,Provide Services,Shut Down Alarm,,,,,
PROVIDE_SERVICES: SHUT_DOWN_SPRINKLER_SYSTEM,TRUE,PROVIDE_SERVICES,SHUT_DOWN_SPRINKLER_SYSTEM,,Provide Services,Shut Down Sprinkler System,,,,,
PROVIDE_SERVICES: SECURE_PROPERTY,TRUE,PROVIDE_SERVICES,SECURE_PROPERTY,,Provide Services,Secure Property,,,,,
PROVIDE_SERVICES: REMOVE_WATER,TRUE,PROVIDE_SERVICES,REMOVE_WATER,,Provide Services,Remove Water,,,,,
PROVIDE_SERVICES: ASSIST_UNINJURED_PERSON,TRUE,PROVIDE_SERVICES,ASSIST_UNINJURED_PERSON,,Provide Services,Assist Uninjured Person,,,,,
PROVIDE_SERVICES: ASSIST_ANIMAL,TRUE,PROVIDE_SERVICES,ASSIST_ANIMAL,,Provide Services,Assist Animal,,,,,
PROVIDE_SERVICES: PROVIDE_APPARATUS/WATER,TRUE,PROVIDE_SERVICES,PROVIDE_APPARATUS/WATER,,Provide Services,Provide Apparatus/Water,,,,,
PROVIDE_SERVICES: CONTROL_CROWD,TRUE,PROVIDE_SERVICES,CONTROL_CROWD,,Provide Services,Control Crowd,,,,,
PROVIDE_SERVICES: CONTROL_TRAFFIC,TRUE,PROVIDE_SERVICES,CONTROL_TRAFFIC,,Provide Services,Control Traffic,,,,,
PROVIDE_SERVICES: DAMAGE_ASSESSMENT,TRUE,PROVIDE_SERVICES,DAMAGE_ASSESSMENT,,Provide Services,Damage Assessment,,,,,
INFORMATION_ENFORCEMENT: REFER_TO_PROPER_AHJ,TRUE,INFORMATION_ENFORCEMENT,REFER_TO_PROPER_AHJ,,Information Enforcement,Refer To Proper AHJ,,,,,
INFORMATION_ENFORCEMENT: ENFORCE_CODE_OR_LAW,TRUE,INFORMATION_ENFORCEMENT,ENFORCE_CODE_OR_LAW,,Information Enforcement,Enforce Code Or Law,,,,,
INFORMATION_ENFORCEMENT: FILL/MOVE-UP,TRUE,INFORMATION_ENFORCEMENT,FILL/MOVE-UP,,Information Enforcement,Fill / Move-Up (To Another Department Or Station),,,,,
INFORMATION_ENFORCEMENT: PROVIDE_PUBLIC_INFORMATION,TRUE,INFORMATION_ENFORCEMENT,PROVIDE_PUBLIC_INFORMATION,,Information Enforcement,Provide Public Information,,,,,
